Path	SizeBytes	LastWriteTime
modemctrl.arm64.inf_arm64_7354aea7fdba77ae\customizations.bin	372003	2020-07-28 14:21:14
modemctrl.arm64.inf_arm64_7354aea7fdba77ae\customizationsvzw.bin	15144	2020-07-28 14:21:14
qcauddev8180_ss.inf_arm64_6080a9338434daca\cs35l40-dsp1-spk-prot.bin	3020	2020-02-11 00:27:00
qcauddev8180_ss.inf_arm64_6080a9338434daca\cs35l41-dsp1-spk-prot-calb.bin	984	2020-02-11 00:27:00
qcauddev8180_ss.inf_arm64_6080a9338434daca\qcwdsp8180.mbn	2140911	2020-02-11 00:27:00
qcbtfmuart8180.inf_arm64_96d9d71023361ae6\crnv21.b46	4722	2019-12-06 21:57:26
qcbtfmuart8180.inf_arm64_96d9d71023361ae6\crnv21.b47	4722	2019-12-06 21:57:26
qcbtfmuart8180.inf_arm64_96d9d71023361ae6\crnv21.b71	4722	2019-12-06 21:57:26
qcbtfmuart8180.inf_arm64_96d9d71023361ae6\crnv21.bin	4641	2019-12-06 21:57:26
qcbtfmuart8180.inf_arm64_96d9d71023361ae6\crnv21_chain2.bin	4649	2019-12-06 21:57:26
qcbtfmuart8180.inf_arm64_ba0b068654fae2c1\crnv21.b46	4814	2021-06-01 14:22:06
qcbtfmuart8180.inf_arm64_ba0b068654fae2c1\crnv21.b47	4814	2021-06-01 14:22:06
qcbtfmuart8180.inf_arm64_ba0b068654fae2c1\crnv21.b71	4814	2021-06-01 14:22:06
qcbtfmuart8180.inf_arm64_ba0b068654fae2c1\crnv21.bin	4710	2021-06-01 14:22:06
qccamfrontsensor8180.inf_arm64_56e5e17b8daabd57\com.qti.sensormodule.partron_hi1a1.bin	74272	2023-07-24 00:02:28
qccamfrontsensor8180.inf_arm64_56e5e17b8daabd57\com.qti.tuned.default.bin	723296	2023-07-24 00:00:52
qccamfrontsensor8180.inf_arm64_56e5e17b8daabd57\com.qti.tuned.partron_hi1a1.bin	723296	2023-07-24 00:00:48
qccamfrontsensor8180.inf_arm64_d0c47d9f8823b4a5\com.qti.sensormodule.partron_hi1a1.bin	74272	2020-06-30 20:10:34
qccamfrontsensor8180.inf_arm64_d0c47d9f8823b4a5\com.qti.tuned.default.bin	723296	2020-06-30 20:10:34
qccamfrontsensor8180.inf_arm64_d0c47d9f8823b4a5\com.qti.tuned.partron_hi1a1.bin	723296	2020-06-30 20:10:34
qccamplatform8180.inf_arm64_a093d1464b53a42a\com.qti.tuned.default.bin	723296	2023-07-24 00:00:52
qccamplatform8180.inf_arm64_ead6f5f6168690c9\com.qti.tuned.default.bin	723296	2020-06-30 20:10:34
qcdx8180.inf_arm64_a6eeb0588aa111aa\qcdxkmsuc8180.mbn	14240	2020-05-07 09:24:14
qcdx8180.inf_arm64_a6eeb0588aa111aa\qcvss8180.mbn	1142816	2020-05-07 09:24:16
qcdx8180.inf_arm64_c1c5f5f4255a7d2a\qcdxkmsuc8180.mbn	14240	2021-10-11 12:00:10
qcdx8180.inf_arm64_c1c5f5f4255a7d2a\qcvss8180.mbn	1159200	2021-10-11 12:00:10
qclistensm_swc_ext8180.inf_arm64_a70d95a794e79c2e\de-DE-Cortana.bin	43480	2019-10-16 11:34:22
qclistensm_swc_ext8180.inf_arm64_a70d95a794e79c2e\en-AU-Cortana.bin	43472	2019-10-16 11:34:22
