Device	Component	FState	Rail	Mode	Microvolt	Microamp	Param4	Param5	Line
\_SB.ADSP.SLM1.ADCM.AUDD			CXO_BUFFERS_BBCLK2_A	0x06					3223
\_SB.ADSP.SLM1.ADCM.AUDD			CXO_BUFFERS_BBCLK2_A	0x06					3239
\_SB.ADSP.SLM1.ADCM.AUDD	0x04		LDO14_E	0x001B7740	0x07				3311
\_SB.ADSP.SLM1.ADCM.AUDD	0x04		LDO14_E	0x05					3330
\_SB.GPU0			LDO5_E						4080
\_SB.GPU0			LDO3_C						4096
\_SB.GPU0			LDO5_E	0x000D6D80	0x07				4200
\_SB.GPU0			LDO3_C	0x00124F80	0x07				4216
\_SB.GPU0	0x06		LDO3_C						20287
\_SB.GPU0	0x06		LDO5_E						20303
\_SB.GPU0	0x06		LDO3_C	0x00124F80	0x07				20513
\_SB.GPU0	0x06		LDO5_E	0x000D6D80	0x07				20529
\_SB.GPU0	0x07		LDO3_C						23299
\_SB.GPU0	0x07		LDO5_E						23315
\_SB.GPU0	0x07		LDO3_C	0x00124F80	0x07				23525
\_SB.GPU0	0x07		LDO5_E	0x000D6D80	0x07				23541
\_SB.GPU0	0x08		LDO3_C						26291
\_SB.GPU0	0x08		LDO5_E						26307
\_SB.GPU0	0x08		LDO9_E						26323
\_SB.GPU0	0x08		LDO16_E						26339
\_SB.GPU0	0x08		LDO3_C	0x00124F80	0x07				26569
\_SB.GPU0	0x08		LDO5_E	0x000D6D80	0x07				26585
\_SB.GPU0	0x08		LDO16_E	0x002EE000	0x07				26601
\_SB.GPU0	0x08		LDO9_E	0x000D6D80	0x07				26617
\_SB.GPU0	0x09		LDO3_C						29407
\_SB.GPU0	0x09		LDO5_E						29423
\_SB.GPU0	0x09		LDO9_E						29439
\_SB.GPU0	0x09		LDO16_E						29455
\_SB.GPU0	0x09		LDO3_C	0x00124F80	0x07				29685
\_SB.GPU0	0x09		LDO5_E	0x000D6D80	0x07				29701
\_SB.GPU0	0x09		LDO9_E	0x000D6D80	0x07				29717
\_SB.GPU0	0x09		LDO16_E	0x002EE000	0x07				29733
\_SB.GPU0	0x0A		LDO3_C						32483
\_SB.GPU0	0x0A		LDO5_E						32499
\_SB.GPU0	0x0A		LDO9_E						32515
\_SB.GPU0	0x0A		LDO16_E						32531
\_SB.GPU0	0x0A		LDO3_C	0x00124F80	0x07				32761
\_SB.GPU0	0x0A		LDO5_E	0x000D6D80	0x07				32777
\_SB.GPU0	0x0A		LDO9_E	0x000D6D80	0x07				32793
\_SB.GPU0	0x0A		LDO16_E	0x002EE000	0x07				32809
\_SB.GPU0	0x0B		LDO3_C						35599
\_SB.GPU0	0x0B		LDO5_E						35615
\_SB.GPU0	0x0B		LDO9_E						35631
\_SB.GPU0	0x0B		LDO16_E						35647
\_SB.GPU0	0x0B		LDO3_C	0x00124F80	0x07				35877
\_SB.GPU0	0x0B		LDO5_E	0x000D6D80	0x07				35893
